t_s,M,power_w,V_load_worst,V_load_avg
0.003258,1,186.254,0.906873,0.906873
0.003312,1,58.287,0.919670,0.919670
0.003326,1,59.753,0.929761,0.929761
0.004001,1,61.016,0.937618,0.965307
0.005002,1,60.896,0.953509,0.966420
0.006002,1,61.250,0.955792,0.966844
0.007001,1,61.457,0.951868,0.966535
0.008001,1,61.383,0.954405,0.966341
0.009001,1,61.229,0.953150,0.966776
0.010002,1,60.512,0.961705,0.967936
0.011002,1,60.826,0.945635,0.965719
0.012001,1,61.450,0.948346,0.966100
0.013001,1,60.675,0.952820,0.967687
0.019221,1,61.868,0.954518,0.965075
0.019234,1,60.640,0.968933,0.968933
0.019245,1,63.130,0.965686,0.965686
0.019253,1,59.517,0.969115,0.969115
0.019262,1,60.632,0.969229,0.969229
0.019269,1,59.644,0.969418,0.969418
0.019998,1,61.209,0.950578,0.966785
0.021002,1,61.590,0.955463,0.966249
0.022002,1,61.061,0.953682,0.966750
0.023001,1,60.666,0.956756,0.966514
0.024001,1,61.160,0.952570,0.966273
0.025001,1,61.338,0.954313,0.966492
0.026001,1,62.143,0.953132,0.966783
0.027001,1,61.372,0.954475,0.966757
0.039475,2,61.333,0.963549,0.967712
0.039503,2,69.929,0.940441,0.940441
0.039521,2,68.967,0.948496,0.948496
0.039530,2,67.285,0.957385,0.957385
0.039539,2,70.451,0.948858,0.948858
0.039547,2,68.943,0.956959,0.956959
0.039556,2,67.288,0.964067,0.964067
0.039563,2,69.731,0.956561,0.956561
0.039572,2,70.967,0.954245,0.954245
0.039579,2,63.900,0.966414,0.966414
0.039587,2,70.189,0.956577,0.956577
0.039594,2,69.719,0.959777,0.959777
0.039996,2,68.938,0.943952,0.962803
0.040999,2,69.314,0.946609,0.962826
0.042651,2,69.285,0.951842,0.962111
0.043001,2,69.326,0.951591,0.961947
0.044897,2,68.997,0.961908,0.963523
0.044998,2,68.421,0.952000,0.962812
0.047112,2,69.524,0.946551,0.962202
0.047135,2,67.265,0.965346,0.965346
0.047651,2,69.556,0.946956,0.962461
0.049001,2,68.969,0.943525,0.962507
0.051094,2,69.215,0.957983,0.963419
0.051115,2,67.838,0.965538,0.965538
0.052001,2,69.150,0.952171,0.962303
0.053001,2,69.285,0.948215,0.961826
0.054001,2,68.886,0.947724,0.962486
0.055001,2,69.736,0.951317,0.962075
0.068404,2,69.422,0.951221,0.962458
0.068427,2,69.267,0.964866,0.964866
0.068441,2,68.529,0.965498,0.965498
0.068449,2,69.501,0.963877,0.963877
0.068459,2,68.620,0.965497,0.965497
0.068466,2,65.785,0.965819,0.965819
0.068474,2,67.976,0.965858,0.965858
0.068481,2,65.550,0.966131,0.966131
0.068489,2,65.253,0.966380,0.966380
0.068496,2,67.568,0.965314,0.965314
0.068505,2,71.630,0.952249,0.952249
0.068512,2,71.656,0.954551,0.954551
0.068520,2,70.610,0.959885,0.959885
0.068999,2,69.168,0.943401,0.962768
0.069995,2,69.309,0.947291,0.962277
0.071002,2,68.537,0.949019,0.962817
0.072001,2,68.831,0.953044,0.962291
0.073001,2,69.677,0.953226,0.962682
