t_s,M,power_w,V_load_worst,V_load_avg
0.003181,1,193.028,0.903486,0.903486
0.003221,1,61.831,0.916606,0.916606
0.003234,1,62.851,0.927000,0.927000
0.004002,1,63.729,0.935165,0.964595
0.005001,1,63.646,0.957013,0.965997
0.006002,1,63.892,0.958602,0.966293
0.007002,1,64.037,0.955871,0.966078
0.008001,1,63.985,0.957637,0.965942
0.009002,1,63.878,0.956764,0.966245
0.010002,1,63.378,0.962716,0.967053
0.011001,1,63.597,0.951534,0.965510
0.012001,1,64.031,0.953420,0.965775
0.013000,1,63.492,0.956534,0.966879
0.014001,1,64.199,0.957716,0.965502
0.015001,1,63.737,0.959629,0.966490
0.016001,1,63.660,0.954973,0.966312
0.017001,1,64.046,0.959494,0.965959
0.026274,1,64.077,0.958765,0.966219
0.026302,1,63.047,0.968292,0.968292
0.026317,1,63.182,0.968315,0.968315
0.026326,1,61.859,0.968466,0.968466
0.026336,1,66.896,0.955983,0.955983
0.026344,1,65.934,0.961232,0.961232
0.026353,1,62.260,0.968073,0.968073
0.026360,1,64.605,0.965627,0.965627
0.026368,1,63.996,0.967998,0.967998
0.026998,1,63.777,0.957134,0.966256
0.028072,1,64.110,0.956360,0.966146
0.029165,1,63.367,0.963899,0.967008
0.030217,1,63.470,0.960759,0.966474
0.036864,2,63.940,0.954237,0.966084
0.036885,2,71.124,0.943147,0.943147
0.036899,2,73.837,0.938558,0.938558
0.036908,2,72.198,0.948808,0.948808
0.036917,2,75.772,0.940175,0.940175
0.036924,2,73.033,0.953494,0.953494
0.036996,2,71.568,0.953660,0.961636
0.038001,2,72.210,0.950269,0.962015
0.039000,2,72.728,0.957828,0.961644
0.040002,2,72.013,0.954654,0.962659
0.041001,2,72.526,0.954070,0.960770
0.042001,2,72.273,0.954956,0.961813
0.043001,2,72.119,0.953887,0.961496
0.044001,2,71.802,0.954184,0.962344
0.057026,2,72.809,0.950228,0.960612
0.057050,2,72.150,0.963604,0.963604
0.057065,2,70.606,0.963823,0.963823
0.057074,2,71.123,0.963946,0.963946
0.057083,2,72.852,0.961520,0.961520
0.057091,2,69.618,0.964135,0.964135
0.057100,2,71.666,0.964142,0.964142
0.057107,2,71.486,0.964165,0.964165
0.057115,2,70.533,0.964279,0.964279
0.057123,2,75.661,0.950525,0.950525
0.057131,2,73.117,0.961150,0.961150
0.057138,2,70.839,0.963935,0.963935
0.057146,2,73.038,0.960973,0.960973
0.057996,2,72.225,0.948030,0.961785
0.060883,2,72.136,0.947940,0.961801
0.060905,2,71.580,0.964041,0.964041
0.060998,2,72.381,0.955720,0.961769
0.062529,2,72.415,0.952624,0.961620
0.063001,2,72.457,0.954278,0.961970
0.064780,2,73.727,0.959714,0.960467
0.064998,2,72.018,0.950765,0.962208
0.067024,2,72.106,0.954398,0.961821
0.067049,2,70.057,0.964196,0.964196
0.077051,2,72.012,0.954148,0.961937
0.077074,2,71.874,0.963950,0.963950
0.077089,2,70.763,0.964084,0.964084
0.077097,2,75.195,0.953119,0.953119
0.077107,2,74.957,0.955751,0.955751
0.077115,2,73.179,0.962904,0.962904
0.077124,2,70.878,0.963699,0.963699
0.077131,2,74.414,0.957789,0.957789
0.077139,2,69.581,0.963856,0.963856
0.077147,2,71.141,0.963971,0.963971
0.077995,2,72.021,0.951869,0.961596
0.079001,2,72.308,0.950797,0.961878
0.080001,2,72.675,0.953744,0.960915
0.081001,2,72.003,0.955639,0.962217
0.082002,2,72.009,0.952279,0.961074
0.083002,2,71.848,0.953704,0.961799
0.084002,2,72.362,0.952933,0.961264
0.085002,2,72.299,0.945484,0.961321
0.106271,3,72.669,0.949251,0.961211
0.106295,3,79.932,0.940560,0.940560
0.106310,3,83.872,0.931607,0.931607
0.106319,3,80.868,0.946695,0.946695
0.106329,3,82.252,0.944757,0.944757
0.106336,3,78.918,0.958449,0.958449
0.106344,3,80.466,0.953821,0.953821
0.106351,3,81.160,0.952748,0.952748
0.106360,3,79.293,0.960169,0.960169
0.106368,3,81.408,0.953309,0.953309
0.106376,3,81.081,0.955572,0.955572
0.106383,3,78.938,0.960124,0.960124
0.106391,3,78.898,0.960210,0.960210
0.106399,3,85.697,0.940267,0.940267
0.106407,3,82.704,0.953404,0.953404
0.106414,3,78.990,0.959627,0.959627
0.106421,3,80.736,0.959628,0.959628
0.106428,3,80.484,0.959654,0.959654
0.106437,3,80.145,0.959709,0.959709
0.106445,3,78.131,0.959954,0.959954
0.106452,3,81.589,0.955073,0.955073
0.106995,3,80.392,0.937153,0.957104
0.108000,3,80.545,0.948045,0.957434
0.108997,3,80.588,0.944025,0.957401
0.110001,3,80.416,0.947142,0.957411
0.111002,3,80.799,0.945716,0.956497
0.112001,3,80.429,0.945390,0.957282
0.113001,3,80.078,0.942656,0.957872
0.114002,3,80.685,0.944732,0.956868
0.119604,3,80.731,0.948851,0.956598
0.119626,3,80.676,0.959650,0.959650
0.119639,3,81.462,0.957165,0.957165
0.119649,3,80.818,0.959577,0.959577
0.119658,3,82.595,0.953873,0.953873
0.120000,3,80.836,0.948408,0.957336
0.122096,3,80.463,0.947790,0.957727
0.122119,3,77.571,0.960066,0.960066
0.124312,3,80.464,0.944483,0.956971
0.124334,3,83.075,0.952101,0.952101
0.125001,3,80.594,0.949605,0.957765
0.126001,3,79.955,0.950291,0.957844
0.127001,3,80.864,0.945835,0.956822
0.128001,3,79.846,0.952043,0.958537
0.129002,3,80.287,0.948176,0.957156
0.138380,3,80.352,0.944549,0.956910
0.138404,3,77.810,0.959906,0.959906
0.138418,3,80.105,0.959914,0.959914
0.138427,3,79.797,0.959952,0.959952
0.138437,3,79.456,0.960016,0.960016
0.138444,3,80.014,0.959868,0.959868
0.138453,3,79.928,0.960016,0.960016
0.138460,3,83.722,0.947772,0.947772
0.138469,3,81.735,0.956327,0.956327
0.138916,3,80.313,0.948163,0.957645
0.139997,3,80.373,0.941351,0.957383
0.141833,3,81.239,0.948251,0.956750
0.141995,3,79.936,0.948405,0.958352
0.144190,3,80.339,0.948708,0.957250
0.144210,3,81.110,0.957635,0.957635
0.146462,3,81.094,0.945185,0.956814
0.146486,3,79.223,0.959453,0.959453
0.147002,3,80.183,0.945795,0.957418
0.148837,3,82.459,0.951663,0.954012
0.148997,3,81.093,0.948064,0.956978
0.157359,3,80.177,0.950232,0.957851
0.157383,3,79.359,0.960138,0.960138
0.157397,3,82.161,0.952192,0.952192
0.157406,3,77.777,0.960138,0.960138
0.157416,3,81.530,0.954250,0.954250
0.157423,3,79.954,0.959970,0.959970
0.157431,3,78.605,0.960116,0.960116
0.157438,3,81.473,0.954557,0.954557
0.157996,3,80.948,0.948580,0.957144
0.159001,3,80.199,0.946457,0.957804
0.160068,3,81.002,0.948651,0.956906
0.161002,3,79.821,0.948467,0.957939
0.162002,3,80.762,0.947423,0.956665
0.163000,3,81.769,0.949115,0.955614
0.164001,3,80.376,0.951665,0.958509
0.165002,3,80.692,0.947618,0.957227
0.185682,4,80.711,0.946410,0.957494
0.185706,4,90.865,0.925932,0.925932
0.185722,4,86.398,0.946224,0.946224
0.185731,4,90.666,0.934423,0.934423
0.185741,4,88.892,0.944256,0.944256
0.185749,4,88.752,0.946974,0.946974
0.185758,4,85.129,0.956989,0.956989
0.185765,4,87.688,0.951556,0.951556
0.185774,4,85.655,0.956893,0.956893
0.185781,4,89.548,0.946023,0.946023
0.185789,4,87.483,0.954597,0.954597
0.185796,4,88.482,0.951674,0.951674
0.185804,4,90.838,0.944807,0.944807
0.185811,4,93.083,0.939442,0.939442
0.185819,4,89.524,0.953850,0.953850
0.185826,4,89.282,0.954916,0.954916
0.185833,4,87.931,0.955545,0.955545
0.185840,4,89.623,0.953218,0.953218
0.185848,4,87.307,0.955648,0.955648
0.185855,4,87.121,0.955807,0.955807
0.185997,4,89.176,0.942263,0.951650
0.186998,4,88.620,0.942932,0.953257
0.187999,4,89.320,0.933103,0.952529
0.189001,4,88.671,0.936655,0.952778
